Dataset         File Name                      Full Path                                          Warning    Exception  Message                                           
dataset_1       dm_mobile_phone.csv.uvl        dataset/dataset_1/dm_mobile_phone.csv.uvl          False      False                                                        
dataset_2       dm_DOPLERTools.csv.uvl         dataset/dataset_2/dm_DOPLERTools.csv.uvl           False      True       Error in UVL: Line 16:30 - extraneous input '.0' expecting {'cardinality', '{', NEWLINE}
dataset_2       dm_DissModel.csv.uvl           dataset/dataset_2/dm_DissModel.csv.uvl             False      True       Error in UVL: Line 18:16 - extraneous input '.0' expecting {'cardinality', '{', NEWLINE}
dataset_2       dm_ASEJ1.csv.uvl               dataset/dataset_2/dm_ASEJ1.csv.uvl                 False      True       Error in UVL: Line 8:14 - extraneous input '.0' expecting {'cardinality', '{', NEWLINE}
dataset_3       dm_HICSSDM.csv.uvl             dataset/dataset_3/dm_HICSSDM.csv.uvl               False      False                                                        
dataset_4       dm_eShop_DM.csv.uvl            dataset/dataset_4/dm_eShop_DM.csv.uvl              False      False                                                        
dataset_5       berkeleydb.uvl                 dataset/dataset_5/berkeleydb.uvl                   False      True       Error in UVL: Line 21:12 - mismatched input '\t\t\t\t\t\t\t\t\t\t\t\t' expecting {<EOF>, 'constraints'}
dataset_6       financialservices01.uvl        dataset/dataset_6/financialservices01.uvl          False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2018-04-23.uvl                 dataset/dataset_7/2018-04-23.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2017-05-22.uvl                 dataset/dataset_7/2017-05-22.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2018-02-20.uvl                 dataset/dataset_7/2018-02-20.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2017-11-20.uvl                 dataset/dataset_7/2017-11-20.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2018-05-09.uvl                 dataset/dataset_7/2018-05-09.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2017-10-20.uvl                 dataset/dataset_7/2017-10-20.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2017-09-28.uvl                 dataset/dataset_7/2017-09-28.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2018-03-26.uvl                 dataset/dataset_7/2018-03-26.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2018-01-23.uvl                 dataset/dataset_7/2018-01-23.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_7       2017-12-22.uvl                 dataset/dataset_7/2017-12-22.uvl                   False      True       Error in UVL: Line 1:40 - mismatched input '/' expecting {<EOF>, 'include', 'imports', 'features', 'constraints', NEWLINE}
dataset_8       automotive2_4.uvl              dataset/dataset_8/automotive2_4.uvl                False      True       Error in UVL: Line 1275:6 - mismatched input '\t\t\t\t\t\t' expecting {<EOF>, 'constraints'}
